,县区名称,行政代码,sum price,sum area,ave price
0,河间市,130984,10462.0,80.34279930000001,130.21702120354175
1,闻喜县,140823,3690.0,29.402500000000003,125.49953235269108
2,瓦房店市,210281,448621.8004,1439.948376692,311.5540860087088
3,普兰店市,210282,0.0,0.0,
4,德惠市,220183,57008.9806,360.798301032,158.00789648104177
5,榆树市,220182,6205.6666000000005,45.140414422999996,137.47473698066187
6,扶余市,220724,1816.1200000000001,26.86786972,67.59449181965142
7,桐庐县,330122,23924.709199999998,94.46660002800002,253.26103821783238
8,淳安县,330127,2730.5371999999998,17.102160039999998,159.66037001253557
9,颍上县,341226,9152.0,133.14879882,68.73513002826502
10,同安区,350212,22907.106699999997,89.0373246,257.27532585811764
11,翔安区,350213,37049.746199999994,165.06714985000002,224.45257117280983
12,集美区,350211,20681.8763,51.03470109999999,405.2512477632597
13,莱西市,370285,32816.5557,215.468700617,152.30312154864708
14,青州市,370781,63515.883700000006,260.14940049,244.15156667809242
15,民权县,411421,6043.4,71.55359982799999,84.45976183626092
16,钟祥市,420881,34686.608,196.48205943,176.53829617129844
17,祁东县,430426,3614.6958,29.7688998,121.42523990758973
18,衡南县,430422,2655.2,23.761399809999997,111.74425838677053
19,白云区,440111,58356.5064,182.16390825000002,320.3516380418896
20,高州市,440981,63.408,0.2642,240.0
21,茂南区,440902,5526.044,9.970154091000001,554.2586352791003
22,涪陵区,500102,54022.0,234.75041708999998,230.12525672867594
23,武隆县,500232,0.0,0.0,
24,沿滩区,510311,25900.548,138.88970021,186.48285625815737
25,西充县,511325,2868.3,33.299499929999996,86.13642865597232
26,临潼区,610115,750.5646,6.6775999000000015,112.40035510363535
27,临渭区,610502,6308.3118,43.80980029999999,143.99316492661578
28,崆峒区,620802,897.3504,4.8491,185.05504114165515
29,镇原县,621027,3960.981,32.6007,121.49987576953869
30,湟中县,630122,21377.578400000002,426.2386978900001,50.15400644245807
31,绥中县,211421,41384.8828,255.88243135,161.73397517625236
32,海港区,130302,27689.0858,93.10208419,297.40564930311257
33,饶平县,445122,3361.3191,45.434601,73.98148164655392
34,平和县,350628,1909.0597000000002,17.09800023,111.65397557138763
35,永川区,500118,81496.516,222.66710240999996,366.00160112533985
36,沿河土家族自治县,522228,310.0,2.0931001,148.10567349358973
37,三台县,510722,6022.4617,60.67752302,99.25358518697159
38,西峡县,411323,8901.7309,104.94979971999999,84.81894128192054
39,汉南区,420113,15561.0,86.67659992,179.5294233318145
40,凤冈县,520327,3351.796,20.971000210000003,159.83004942233032
41,沾益县,530328,0.0,0.0,
42,前锋区,511602,1008.84,8.4072,119.99714530402512
43,灵山县,450721,2071.1508000000003,17.2362004,120.16284052951718
44,闽清县,350124,3965.9000000000005,36.98140031,107.24039562470534
45,宜黄县,361026,3574.4635000000003,59.56720019000001,60.007243728068865
46,牟定县,532323,330.22720000000004,2.90969998,113.49183842658583
47,肃州区,620902,4920.7862000000005,62.967200147,78.14840406611991
48,郊区,140411,18788.2477,79.89279866999999,235.1682255819516
49,应城市,420981,26640.25,150.29945784999998,177.24781167598871
50,罗田县,421123,2953.1215,25.6496304,115.13310148905694
51,户县,610125,0.0,0.0,
52,抚宁县,130323,0.0,0.0,
53,黔西县,522423,2744.0,33.7526009,81.29743862198188
54,武鸣县,450122,0.0,0.0,
55,鸩江区,341422,0.0,0.0,
56,筠连县,511527,9101.6,29.534500009,308.16841311776005
57,龙江县,230221,2974.92,32.86890003,90.50865703703928
58,称多县,632723,0.0,0.0,
59,慈溪市,330282,238818.4188,889.06509988,268.61747113033016
60,蜀山区,340104,98208.1353,281.23000632,349.2093058812971
61,石屏县,532525,0.0,0.0,
62,瓮安县,522725,2870.8156000000004,20.65350012,138.99898725737148
63,冀州市,131181,0.0,0.0,
64,石阡县,522224,0.0,0.0,
65,开封县,410224,0.0,0.0,
66,玉树市,632721,0.0,0.0,
67,彭州市,510182,42851.1352,300.94648931000006,142.38788861849704
68,屏南县,350923,156.0,1.18199998,131.9796976646311
69,垫江县,500231,22534.09,61.8710991,364.21027471289904
70,苍梧县,450421,278.0,1.6533,168.14855138208432
71,新兴县,445321,11241.6229,73.49949879900001,152.94829330391227
72,文水县,141121,1073.06,8.941099770000001,120.01431899914922
73,永胜县,530722,2863.641,8.1662,350.66995665058414
74,花垣县,433124,2494.0,20.746100979999998,120.2153601008839
75,高淳区,320118,5153.9112,35.72240001000001,144.27673388566365
76,麻章区,440811,24273.019399999997,173.19750988999996,140.14646870740876
77,会泽县,530326,18361.021999999997,83.06259999000001,221.05041260700364
78,永济市,140881,68.9987,3.0019,22.985009493987143
79,秭归县,420527,7209.3945,50.67049876,142.27991980397076
80,武进区,320412,47063.902599999994,156.90440105000002,299.9527246211682
81,歙县,341021,5801.5291,59.940860840000006,96.78755057399005
82,廉江市,440881,5356.38,26.905899697,199.07827132044335
83,浑源县,140225,691.0,7.6675999,90.11946489278868
84,隆德县,640423,526.84,8.78019991,60.00318960846986
85,庐江县,341421,12149.94,107.41159996,113.11571566315583
86,开阳县,520121,4165.615,32.39539980000001,128.58662111649565
87,兴宾区,451302,16139.999800000001,108.71061529999999,148.4675600028547
88,船营区,220204,9379.3549,22.67740001,413.5992175409883
89,广平县,130432,1961.2435,23.13069019,84.78966619197108
90,界首市,341282,2789.2249999999995,25.251503153,110.45778079427426
91,甘谷县,620523,961.74,10.2254001,94.05402141672677
92,温岭市,331081,38887.0,71.63200013000001,542.8718998412253
93,望都县,130631,2263.6,13.7160999,165.03233546731457
94,洪洞县,141024,15455.4071,108.38689781,142.5947915502943
