车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
恩施站,76,"109.484826,30.348677",,,109.484826,30.348677
尔赛河站,0,"102.640587,28.397894",,,102.640587,28.397894
二岔站,0,"109.478081,34.134235",,,109.478081,34.134235
二道沟站,0,"125.624516,44.833191",,,125.624516,44.833191
二道沟门站,0, ,,,0,0
二道沙河站,0, ,,,0,0
二道湾站,0, ,,,0,0
二井站,0,"126.529327,48.357780",,,126.529327,48.35778
二连站,0,"111.986977,43.657528",,,111.986977,43.657528
二龙站,0,"119.265823,41.798828",,,119.265823,41.798828
二龙山屯站,0, ,,,0,0
二龙屯站,0,"123.147522,45.291504",,,123.147522,45.291504
二营站,0,"106.236206,36.194817",,,106.236206,36.194817
发耳站,0,"104.805046,26.311834",,,104.805046,26.311834
繁昌西站,14,"118.158967,31.072436",,,118.158967,31.072436
繁峙站,0, ,,,0,0
范家屯站,0,"125.075851,43.712952",,,125.075851,43.712952
范镇站,0,"117.402687,36.223846",,,117.402687,36.223846
防城港北站,14,"108.378028,21.714698",,,108.378028,21.714698
费县站,0,"117.979909,35.277587",,,117.979909,35.277587
分宜站,0, ,,,0,0
汾河站,0,"112.541527,37.947807",,,112.541527,37.947807
汾阳站,0,"111.789071,37.191300",,,111.789071,37.1913
丰城站,0,"115.790598,28.182409",,,115.790598,28.182409
丰城南站,0,"115.760662,28.068620",,,115.760662,28.06862
丰都站,41,"107.690347,29.845553",,,107.690347,29.845553
丰广站,0,"126.714706,44.250999",,,126.714706,44.250999
丰乐镇站,0,"130.874863,46.811092",,,130.874863,46.811092
丰水村站,0,"104.745544,36.651333",,,104.745544,36.651333
丰顺站,0,"116.190463,23.751081",,,116.190463,23.751081
丰镇站,0, ,,,0,0
风陵渡站,0,"110.312057,34.631565",,,110.312057,34.631565
风水沟站,0,"119.330620,42.405972",,,119.33062,42.405972
枫林站,10,"111.324242,27.705183",,,111.324242,27.705183
冯屯站,0,"124.130341,47.464703",,,124.130341,47.464703
凤城东站,42,"124.134343,40.464536",,,124.134343,40.464536
凤凰城站,0, ,,,0,0
凤凰机场站,14,"109.377165,27.908544",,,109.377165,27.908544
凤县站,0,"106.506893,33.905086",,,106.506893,33.905086
凤州站,0,"106.655060,33.970039",,,106.65506,33.970039
奉化站,18,"121.464604,29.628008",,,121.464604,29.628008
佛岭站,0,"130.578934,45.626671",,,130.578934,45.626671
佛坪站,24,"107.984263,33.501048",,,107.984263,33.501048
佛山站,0,"113.103892,23.047819",,,113.103892,23.047819
佛山西站,188,"113.036091,23.078470",,,113.036091,23.07847
扶绥站,0,"107.918983,22.628428",,,107.918983,22.628428
扶余站,0,"126.025492,44.987217",,,126.025492,44.987217
扶余北站,35,"126.003317,45.007613",,,126.003317,45.007613
芙蓉南站,21,"112.996414,28.051598",,,112.996414,28.051598
浮图峪站,0,"114.832977,39.366749",,,114.832977,39.366749
涪陵站,0,"107.333876,29.699743",,,107.333876,29.699743
涪陵北站,46,"107.277532,29.770426",,,107.277532,29.770426
福安站,24,"119.717283,26.834119",,,119.717283,26.834119
福鼎站,46,"120.189238,27.282435",,,120.189238,27.282435
福海站,0, ,,,0,0
福巨站,0,"121.887939,43.642139",,,121.887939,43.642139
福利屯站,0,"131.134445,46.722446",,,131.134445,46.722446
福临堡站,0,"107.096420,34.383896",,,107.09642,34.383896
福清站,67,"119.385020,25.675652",,,119.38502,25.675652
福泉站,0,"107.536589,26.624959",,,107.536589,26.624959
福山口站,0, ,,,0,0
福山镇站,4,"109.918511,19.876181",,,109.918511,19.876181
福生庄站,0,"112.462662,40.967979",,,112.462662,40.967979
福田站,85,"114.057293,22.538227",,,114.057293,22.538227
福兴地站,0,"120.191818,43.751278",,,120.191818,43.751278
福州站,192,"119.320518,26.114050",,,119.320518,26.11405
福州南站,146,"119.390021,25.985780",,,119.390021,25.98578
抚宁站,0,"119.249165,39.893966",,,119.249165,39.893966
抚顺北站,0,"123.917987,41.888691",,,123.917987,41.888691
抚远站,0,"134.287410,48.357511",,,134.28741,48.357511
抚州站,61,"116.364891,27.987255",,,116.364891,27.987255
抚州东站,34,"116.616912,28.260400",,,116.616912,28.2604
阜南站,0,"115.588224,32.633561",,,115.588224,32.633561
阜宁站,0,"119.806595,33.786642",,,119.806595,33.786642
阜新南站,0,"121.554456,41.963006",,,121.554456,41.963006
阜阳站,0,"115.866987,32.914545",,,115.866987,32.914545
复盛站,4,"106.798080,29.653971",,,106.79808,29.653971
富川站,0, ,,,0,0
富海站,0,"124.864708,47.866817",,,124.864708,47.866817
富锦站,0, ,,,0,0
富拉尔基站,0,"123.646009,47.210728",,,123.646009,47.210728
富宁站,30,"105.627131,23.623764",,,105.627131,23.623764
富县东站,4,"109.398713,36.021252",,,109.398713,36.021252
富裕站,0,"124.459967,47.797060",,,124.459967,47.79706
富源站,0,"104.269605,25.681682",,,104.269605,25.681682
富源北站,14,"104.270141,25.712330",,,104.270141,25.71233
嘎拉德斯汰站,0,"117.749695,43.470634",,,117.749695,43.470634
嘎什甸子站,0,"121.364098,43.317299",,,121.364098,43.317299
嘎什吐站,0,"120.853821,43.090279",,,120.853821,43.090279
盖州站,0,"122.333700,40.419377",,,122.3337,40.419377
盖州西站,30,"122.273784,40.404792",,,122.273784,40.404792
甘草店站,0,"104.297089,35.800171",,,104.297089,35.800171
甘谷站,0,"105.332319,34.762560",,,105.332319,34.76256
甘河站,0,"123.059044,50.629314",,,123.059044,50.629314
甘洛站,0,"102.762295,28.978310",,,102.762295,28.97831
甘旗卡站,0,"122.355888,42.958878",,,122.355888,42.958878
甘泉北站,2,"109.346840,36.278156",,,109.34684,36.278156
赶水东站,22,"106.720978,28.739864",,,106.720978,28.739864
干塘站,0,"104.519493,37.465488",,,104.519493,37.465488
赣州站,18,"114.964289,25.818832",,,114.964289,25.818832
刚察站,0, ,,,0,0
皋兰站,0,"103.943409,36.337043",,,103.943409,36.337043
高安站,37,"115.411870,28.227651",,,115.41187,28.227651
高碑店站,0,"115.858491,39.328692",,,115.858491,39.328692
高碑店东站,40,"115.946400,39.288600",,,115.9464,39.2886
高村站,0,"112.692596,38.168598",,,112.692596,38.168598
高各庄站,0,"116.624878,40.258953",,,116.624878,40.258953
高家村站,0,"109.797241,40.981216",,,109.797241,40.981216
高林屯站,0,"122.554802,43.862839",,,122.554802,43.862839
高密站,41,"119.769415,36.393217",,,119.769415,36.393217
高平站,0,"112.918781,35.800971",,,112.918781,35.800971
高桥镇站,0,"121.005669,40.898262",,,121.005669,40.898262
高山子站,0,"122.058289,41.555103",,,122.058289,41.555103
高台站,0, ,,,0,0
高台南站,7,"99.769366,39.294983",,,99.769366,39.294983
高台子站,0, ,,,0,0
高滩站,0,"108.328125,32.414612",,,108.328125,32.414612
高头站,0,"124.078743,47.420074",,,124.078743,47.420074
高邑站,0,"114.597606,37.605102",,,114.597606,37.605102
高邑西站,31,"114.531152,37.629509",,,114.531152,37.629509
高州站,0,"110.854759,21.912144",,,110.854759,21.912144
藁城站,0,"114.832699,38.027504",,,114.832699,38.027504
藁城南站,8,"114.831646,38.022685",,,114.831646,38.022685
鸽子洞站,0,"120.209557,40.771042",,,120.209557,40.771042
革居站,0,"104.734451,25.169250",,,104.734451,25.16925
格尔木站,0,"94.906884,36.382448",,,94.906884,36.382448
葛店南站,21,"115.019730,33.756130",,,115.01973,33.75613
葛根庙站,4,"122.285934,45.907917",,,122.285934,45.907917
根河站,0, ,,,0,0
公积坂站,0,"110.366920,40.558571",,,110.36692,40.558571
公庙子站,0,"108.964462,40.624729",,,108.964462,40.624729
公营子站,0,"119.849792,41.356609",,,119.849792,41.356609
公主岭站,0,"124.811975,43.508737",,,124.811975,43.508737
公主岭南站,26,"124.815828,43.472846",,,124.815828,43.472846
恭城站,43,"110.870041,24.830500",,,110.870041,24.8305
巩义站,0,"112.981521,34.760217",,,112.981521,34.760217
巩义南站,17,"112.916478,34.670834",,,112.916478,34.670834
共和站,0,"100.620031,36.284107",,,100.620031,36.284107
共青城站,42,"115.774931,29.241889",,,115.774931,29.241889
沟帮子站,0,"121.774864,41.361858",,,121.774864,41.361858
沟口站,0,"122.026505,48.680138",,,122.026505,48.680138
孤山站,0,"113.330971,40.226002",,,113.330971,40.226002
孤山口站,0,"115.843864,39.649460",,,115.843864,39.64946
孤山子站,0,"122.976570,40.594013",,,122.97657,40.594013
姑家堡站,0,"112.624352,40.919857",,,112.624352,40.919857
菇园站,0,"126.250946,41.810474",,,126.250946,41.810474
古城站,0, ,,,0,0
古城镇站,0, ,,,0,0
古城子站,0, ,,,0,0
古东站,0,"112.231056,37.921143",,,112.231056,37.921143
古交站,0, ,,,0,0
古浪站,0,"102.917671,37.480039",,,102.917671,37.480039
古莲站,0,"122.353226,52.948273",,,122.353226,52.948273
古田站,0, ,,,0,0
古田北站,40,"118.665044,26.462448",,,118.665044,26.462448
古田会址站,16,"116.772577,25.184158",,,116.772577,25.184158
古冶站,0,"118.418066,39.722323",,,118.418066,39.722323
古源站,0,"124.316208,50.933418",,,124.316208,50.933418
古镇站,40,"113.205681,22.598278",,,113.205681,22.598278
谷城站,8,"111.602395,32.264809",,,111.602395,32.264809
谷山站,28,"117.248833,35.259720",,,117.248833,35.25972
固始站,0,"115.671949,32.181340",,,115.671949,32.18134
固原站,0,"106.305460,36.020871",,,106.30546,36.020871
固镇站,0,"117.306061,33.315762",,,117.306061,33.315762
瓜州站,0,"95.777879,40.516386",,,95.777879,40.516386
关村坝站,0,"103.024872,29.287416",,,103.024872,29.287416
关林站,0,"112.512993,34.634155",,,112.512993,34.634155
关岭站,20,"103.290054,25.377794",,,103.290054,25.377794
观沙岭站,36,"93.815186,29.995527",,,93.815186,29.995527
官高站,0,"116.314018,40.226044",,,116.314018,40.226044
官厅站,0,"115.589867,40.252174",,,115.589867,40.252174
官厅西站,0,"115.585236,40.253803",,,115.585236,40.253803
冠豸山站,18,"116.679176,25.524038",,,116.679176,25.524038
灌水站,0,"124.566353,40.862251",,,124.566353,40.862251
光明站,0,"124.635056,48.279724",,,124.635056,48.279724
光明城站,26,"113.953911,22.733006",,,113.953911,22.733006
光山站,0,"114.887864,32.062941",,,114.887864,32.062941
光泽站,0,"117.351580,27.550254",,,117.35158,27.550254
广安站,0,"106.628760,30.457588",,,106.62876,30.457588
广安南站,11,"106.592707,30.451763",,,106.592707,30.451763
广德站,0,"119.409267,30.912176",,,119.409267,30.912176
广德号站,0, ,,,0,0
广汉北站,21,"104.275792,31.009127",,,104.275792,31.009127
广南卫站,0, ,,,0,0
广南县站,27,"105.054981,24.045941",,,105.054981,24.045941
广宁站,26,"112.426086,23.585314",,,112.426086,23.585314
广宁寺站,2,"121.847839,39.178753",,,121.847839,39.178753
广水站,0, ,,,0,0
广通北站,0,"101.765198,25.164440",,,101.765198,25.16444
广元站,98,"105.821217,32.450353",,,105.821217,32.450353
广州站,61,"113.257633,23.148876",,,113.257633,23.148876
广州北站,29,"113.204561,23.376960",,,113.204561,23.37696
广州东站,170,"113.324710,23.149617",,,113.32471,23.149617
广州南站,748,"113.269462,22.988878",,,113.269462,22.988878
归流河站,0,"121.739143,46.205879",,,121.739143,46.205879
贵定站,0,"107.228134,26.581417",,,107.228134,26.581417
贵定北站,22,"107.232445,26.593207",,,107.232445,26.593207
贵定南站,0,"107.189956,26.346470",,,107.189956,26.34647
贵定县站,14,"107.232889,26.557071",,,107.232889,26.557071
贵港站,97,"109.612982,23.100792",,,109.612982,23.100792
贵溪站,0,"117.215278,28.289245",,,117.215278,28.289245
贵阳站,1,"106.702406,26.556865",,,106.702406,26.556865
贵阳北站,179,"106.674231,26.619282",,,106.674231,26.619282
贵阳东站,60,"106.734977,26.545503",,,106.734977,26.545503
桂林站,92,"110.282539,25.261227",,,110.282539,25.261227
桂林北站,88,"110.301969,25.329235",,,110.301969,25.329235
桂林西站,62,"110.267176,25.354620",,,110.267176,25.35462
桂平站,52,"110.247555,23.349688",,,110.247555,23.349688
郭尔奔敖包站,0,"112.473625,43.059589",,,112.473625,43.059589
郭家店站,0,"124.577423,43.342163",,,124.577423,43.342163
郭家屯站,0,"120.540024,40.743999",,,120.540024,40.743999
虢镇站,0,"107.363556,34.363224",,,107.363556,34.363224
果松站,0,"126.255707,41.598877",,,126.255707,41.598877
哈达站,0,"121.518967,50.680447",,,121.518967,50.680447
哈达铺站,0,"131.132980,45.345863",,,131.13298,45.345863
哈达阳站,0,"125.216667,49.302135",,,125.216667,49.302135
哈尔巴岭站,0,"128.634659,43.267933",,,128.634659,43.267933
哈尔滨站,64,"126.630806,45.760082",,,126.630806,45.760082
哈尔滨北站,31,"126.536296,45.850814",,,126.536296,45.850814
哈尔滨东站,0,"126.713297,45.786458",,,126.713297,45.786458
哈尔滨西站,102,"126.576958,45.707321",,,126.576958,45.707321
哈尔盖站,0,"100.416786,37.183155",,,100.416786,37.183155
哈克站,0,"120.083015,49.191772",,,120.083015,49.191772
哈拉海站,2,"125.088791,44.675011",,,125.088791,44.675011
哈拉苏站,0,"122.428429,48.116505",,,122.428429,48.116505
哈力图站,0,"125.179337,49.390137",,,125.179337,49.390137
哈密站,20,"93.506004,42.850981",,,93.506004,42.850981
哈日努拉站,0,"120.069771,45.627460",,,120.069771,45.62746
哈业胡同站,0,"109.448929,40.624924",,,109.448929,40.624924
海安县站,26,"120.503840,32.547582",,,120.50384,32.547582
海北站,0, ,,,0,0
海城站,0,"122.742616,40.863238",,,122.742616,40.863238
海城西站,36,"122.659185,40.914429",,,122.659185,40.914429
海东西站,8,"102.055562,36.509439",,,102.055562,36.509439
海口站,24,"110.162554,20.027465",,,110.162554,20.027465
海口东站,76,"110.343103,19.983627",,,110.343103,19.983627
海口东站,8,"110.343103,19.983627",,,110.343103,19.983627
海拉尔站,0,"119.743994,49.230278",,,119.743994,49.230278
海林站,0,"129.387840,44.567399",,,129.38784,44.567399
海伦站,0,"126.994068,47.467186",,,126.994068,47.467186
海宁站,0,"120.685570,30.533541",,,120.68557,30.533541
海宁西站,54,"120.391539,30.438944",,,120.391539,30.438944
海石湾站,0,"102.865044,36.340446",,,102.865044,36.340446
海晏站,0, ,,,0,0
海阳站,0,"120.997572,37.080700",,,120.997572,37.0807
海阳北站,20,"120.960428,37.068999",,,120.960428,37.068999
邯郸站,0,"114.476565,36.603075",,,114.476565,36.603075
邯郸东站,107,"114.558896,36.619724",,,114.558896,36.619724
涵江站,33,"119.176016,25.491864",,,119.176016,25.491864
韩城站,0,"110.442311,35.484431",,,110.442311,35.484431
韩府湾站,0,"106.143440,36.570175",,,106.14344,36.570175
韩麻营站,0,"117.840538,41.276867",,,117.840538,41.276867
寒葱沟站,0,"134.157761,47.971668",,,134.157761,47.971668
寒岭站,0,"123.565369,41.187130",,,123.565369,41.18713
罕达盖站,0,"118.820488,47.848164",,,118.820488,47.848164
汉川站,42,"113.830910,30.673488",,,113.83091,30.673488
汉口站,243,"114.255470,30.617849",,,114.25547,30.617849
汉寿站,9,"111.947275,28.769653",,,111.947275,28.769653
汉阴站,0,"108.506579,32.877081",,,108.506579,32.877081
汉源站,0,"102.645453,29.347187",,,102.645453,29.347187
汉中站,110,"107.030178,33.090159",,,107.030178,33.090159
杭锦旗站,0,"107.035898,40.269884",,,107.035898,40.269884
杭州站,25,"120.182520,30.243753",,,120.18252,30.243753
杭州东站,478,"120.213041,30.291089",,,120.213041,30.291089
好鲁库站,0,"116.803253,42.991283",,,116.803253,42.991283
浩良河站,0,"129.635239,46.727444",,,129.635239,46.727444
合川站,37,"106.277640,29.959782",,,106.27764,29.959782
合肥站,24,"117.316680,31.884784",,,117.31668,31.884784
合肥北城站,2,"117.252680,32.063449",,,117.25268,32.063449
合肥南站,256,"117.290854,31.799213",,,117.290854,31.799213
合浦站,33,"109.187537,21.622537",,,109.187537,21.622537
合阳北站,0,"110.090590,35.289172",,,110.09059,35.289172
和龙站,0, ,,,0,0
和平站,0,"114.969293,24.457724",,,114.969293,24.457724
和什托洛盖站,0,"86.273964,46.407043",,,86.273964,46.407043
和硕站,0, ,,,0,0
和田站,0,"79.906612,37.158490",,,79.906612,37.15849
河边站,0,"113.100822,38.600380",,,113.100822,38.60038
河唇站,0,"110.301842,21.696329",,,110.301842,21.696329
河津站,0,"110.725643,35.587521",,,110.725643,35.587521
河口北站,0,"118.545415,37.851043",,,118.545415,37.851043
河口南站,0,"118.545415,37.851043",,,118.545415,37.851043
河洛营站,0,"117.736351,41.380901",,,117.736351,41.380901
河源站,0,"114.683477,23.759392",,,114.683477,23.759392
荷塘站,17,"113.593774,26.607554",,,113.593774,26.607554
菏泽站,0,"115.505415,35.230865",,,115.505415,35.230865
贺家店站,0,"104.834480,34.754097",,,104.83448,34.754097
贺胜桥东站,6,"114.371827,30.019488",,,114.371827,30.019488
贺州站,91,"111.539113,24.455097",,,111.539113,24.455097
赫尔洪得站,0,"118.466499,49.201870",,,118.466499,49.20187
鹤北站,0,"130.469910,47.541386",,,130.46991,47.541386
鹤壁站,0,"114.274168,35.759867",,,114.274168,35.759867
鹤壁东站,60,"114.298955,35.706592",,,114.298955,35.706592
鹤岗站,0,"130.284615,47.340419",,,130.284615,47.340419
鹤立站,0,"130.292038,47.052830",,,130.292038,47.05283
鹤庆站,0,"100.215855,26.555682",,,100.215855,26.555682
鹤山站,0,"112.919835,22.725930",,,112.919835,22.72593
黑冲滩站,0,"96.767090,40.490284",,,96.76709,40.490284
黑河站,0,"127.500733,50.233599",,,127.500733,50.233599
黑井站,0,"101.742104,25.347868",,,101.742104,25.347868
黑水站,0, ,,,0,0
黑台站,0,"131.623856,45.410336",,,131.623856,45.410336
黑旺站,0,"118.208862,36.630863",,,118.208862,36.630863
恒地营站,0,"124.970222,48.567493",,,124.970222,48.567493
横道河子站,0,"129.074936,44.814274",,,129.074936,44.814274
横峰站,0,"117.602098,28.413920",,,117.602098,28.41392
横沟桥东站,8,"114.373508,29.933976",,,114.373508,29.933976
衡山站,0, ,,,0,0
衡山西站,29,"112.789406,27.247774",,,112.789406,27.247774
衡水站,0,"115.690874,37.744054",,,115.690874,37.744054
衡水北站,18,"115.674857,37.772959",,,115.674857,37.772959
衡阳站,0,"112.630915,26.889838",,,112.630915,26.889838
衡阳东站,181,"112.709676,26.896446",,,112.709676,26.896446
红安西站,50,"114.630979,31.003919",,,114.630979,31.003919
红峰站,0,"102.621475,28.282686",,,102.621475,28.282686
红光镇站,14,"103.944214,30.771435",,,103.944214,30.771435
红果站,0,"104.463936,25.714804",,,104.463936,25.714804
红花沟站,0,"118.635002,42.244686",,,118.635002,42.244686
红江站,0,"101.866096,25.905005",,,101.866096,25.905005
红旗营站,0, ,,,0,0
红砂坝站,0,"113.212265,40.683178",,,113.212265,40.683178
红砂岘站,0,"104.063972,36.607929",,,104.063972,36.607929
红山站,0,"118.994971,42.307989",,,118.994971,42.307989
红寺堡站,0,"106.062114,37.425702",,,106.062114,37.425702
红岘台站,0,"104.834488,34.754101",,,104.834488,34.754101
红星站,0, ,,,0,0
红兴隆站,0, ,,,0,0
红彦站,0,"124.982147,49.513683",,,124.982147,49.513683
宏庆站,0,"106.426941,33.848644",,,106.426941,33.848644
宏图站,0,"124.159378,51.610619",,,124.159378,51.610619
洪洞站,0,"111.671618,36.262255",,,111.671618,36.262255
洪洞西站,34,"111.581284,36.253573",,,111.581284,36.253573
洪河站,0,"125.490952,45.983772",,,125.490952,45.983772
侯马站,0,"111.358709,35.612701",,,111.358709,35.612701
侯马西站,50,"111.288167,35.601635",,,111.288167,35.601635
猴山站,0,"117.029488,40.815498",,,117.029488,40.815498
后湖站,1,"114.136337,30.307278",,,114.136337,30.307278
后寨站,0,"113.009163,35.281914",,,113.009163,35.281914
鲘门站,29,"115.125282,22.812586",,,115.125282,22.812586
呼和浩特站,24,"111.665748,40.831174",,,111.665748,40.831174
呼和浩特东站,32,"111.765688,40.850196",,,111.765688,40.850196
呼兰站,0,"126.645194,45.998302",,,126.645194,45.998302
呼鲁斯太站,0,"103.342575,37.642456",,,103.342575,37.642456
呼源站,0,"123.578079,51.733208",,,123.578079,51.733208
呼中站,0, ,,,0,0
葫芦岛站,0,"120.868060,40.754199",,,120.86806,40.754199
葫芦岛北站,55,"120.763580,40.743347",,,120.76358,40.743347
湖口站,8,"116.284869,29.729107",,,116.284869,29.729107
湖州站,146,"120.024222,30.862099",,,120.024222,30.862099
虎尔虎拉站,0,"123.550972,47.247787",,,123.550972,47.247787
虎林站,0,"132.977021,45.765672",,,132.977021,45.765672
虎门站,130,"113.673065,22.860954",,,113.673065,22.860954
虎山站,0,"130.630096,45.575096",,,130.630096,45.575096
互助站,0,"102.550651,36.297556",,,102.550651,36.297556
鄠邑站,30,"108.679403,34.079854",,,108.679403,34.079854
花湖站,4,"115.022331,30.261181",,,115.022331,30.261181
花家庄站,0,"104.482857,25.784878",,,104.482857,25.784878
花棚子站,0,"101.913330,26.257967",,,101.91333,26.257967
花桥站,2,"121.045242,31.335533",,,121.045242,31.335533
花山南站,3,"114.512929,30.52827",,,114.512929,30.52827
花园站,0,"113.978546,31.242527",,,113.978546,31.242527
花园口站,6,"113.720757,34.878941",,,113.720757,34.878941
华城站,0,"115.625168,24.070890",,,115.625168,24.07089
华家站,2,"125.146416,44.292267",,,125.146416,44.292267
华容东站,9,"112.626291,29.554242",,,112.626291,29.554242
华容南站,3,"114.774279,30.446792",,,114.774279,30.446792
华山站,0,"128.943420,45.138130",,,128.94342,45.13813
华山北站,81,"110.099098,34.581432",,,110.099098,34.581432
华蓥站,0,"106.783088,30.390435",,,106.783088,30.390435
化德站,0,"114.038732,41.896973",,,114.038732,41.896973
化州站,0,"110.651665,21.653164",,,110.651665,21.653164
桦林站,0,"129.675171,44.677956",,,129.675171,44.677956
桦南站,0,"130.583341,46.244156",,,130.583341,46.244156
桦皮厂站,0,"126.231895,43.996647",,,126.231895,43.996647
怀化站,0,"109.967147,27.558320",,,109.967147,27.55832
怀化南站,112,"109.992897,27.512446",,,109.992897,27.512446
怀集站,32,"112.159454,23.892349",,,112.159454,23.892349
怀仁站,0,"113.094418,39.827866",,,113.094418,39.827866
怀仁东站,0,"113.163149,39.793147",,,113.163149,39.793147
怀柔站,0,"116.648797,40.317243",,,116.648797,40.317243
怀柔北站,0,"116.692473,40.409117",,,116.692473,40.409117
淮安站,0,"119.033080,33.648829",,,119.03308,33.648829
淮北站,12,"116.803776,33.966925",,,116.803776,33.966925
淮北北站,6,"116.85073,34.046844",,,116.85073,34.046844
淮滨站,0,"115.358214,32.441248",,,115.358214,32.441248
淮南站,0,"117.019460,32.631160",,,117.01946,32.63116
淮南东站,50,"117.150048,32.646217",,,117.150048,32.646217
槐荫站,2,"113.96519,30.896259",,,113.96519,30.896259
桓龙湖站,0,"116.756299,23.365528",,,116.756299,23.365528
换新天站,0,"133.063538,47.362389",,,133.063538,47.362389
荒沟西站,0,"128.371902,42.554802",,,128.371902,42.554802
黄柏站,0,"126.341232,41.337578",,,126.341232,41.337578
黄村站,0,"113.408920,23.130243",,,113.40892,23.130243
黄冈站,22,"114.943815,30.485798",,,114.943815,30.485798
黄冈东站,36,"114.985024,30.507420",,,114.985024,30.50742
黄冈西站,20,"114.887767,30.503880",,,114.887767,30.50388
黄瓜园站,0,"101.863556,25.823687",,,101.863556,25.823687
黄河景区站,10,"123.419464,41.825027",,,123.419464,41.825027
黄花筒站,0,"120.965317,43.154667",,,120.965317,43.154667
黄家店站,0,"118.205551,41.968479",,,118.205551,41.968479
黄口站,0,"116.697624,34.359993",,,116.697624,34.359993
黄陵站,0,"109.229834,35.575522",,,109.229834,35.575522
黄陵南站,4,"109.262961,35.579428",,,109.262961,35.579428
黄流站,16,"108.797188,18.540262",,,108.797188,18.540262
黄梅站,0,"115.942658,30.093794",,,115.942658,30.093794
黄泥河站,0,"128.017365,43.555443",,,128.017365,43.555443
黄泥崴子站,0,"107.005890,31.107576",,,107.00589,31.107576
黄山站,0,"118.322302,29.722354",,,118.322302,29.722354
黄山北站,62,"118.272306,29.815252",,,118.272306,29.815252
黄石站,0,"115.086585,30.218124",,,115.086585,30.218124
黄石北站,55,"115.008108,30.211442",,,115.008108,30.211442
黄松甸站,0,"127.727875,43.641914",,,127.727875,43.641914
黄羊滩站,0,"106.018806,38.259693",,,106.018806,38.259693
黄羊湾站,0,"105.525452,37.511974",,,105.525452,37.511974
黄羊镇站,0,"103.167290,36.190327",,,103.16729,36.190327
黄州站,0,"115.005062,30.585936",,,115.005062,30.585936
湟源站,0,"101.242862,36.692932",,,101.242862,36.692932
潢川站,0, ,,,0,0
珲春站,26,"130.403009,42.902025",,,130.403009,42.902025
辉河站,0,"119.267265,48.834457",,,119.267265,48.834457
徽县站,0,"106.201106,33.700075",,,106.201106,33.700075
汇流河站,0,"120.830963,49.291607",,,120.830963,49.291607
会昌北站,6,"115.785208,25.826862",,,115.785208,25.826862
会同站,0,"109.716857,26.871616",,,109.716857,26.871616
惠安站,23,"118.714828,25.057271",,,118.714828,25.057271
惠东站,29,"114.793969,22.844593",,,114.793969,22.844593
惠环站,46,"114.561661,23.125044",,,114.561661,23.125044
惠农站,0,"106.727329,39.262196",,,106.727329,39.262196
惠山站,22,"120.201262,31.670014",,,120.201262,31.670014
惠州站,0,"114.416410,23.151530",,,114.41641,23.15153
惠州南站,121,"114.492152,22.784778",,,114.492152,22.784778
火炬沟站,0,"128.026367,42.494713",,,128.026367,42.494713
获嘉站,0,"113.649127,35.255905",,,113.649127,35.255905
霍城站,0,"80.732246,44.189066",,,80.732246,44.189066
霍尔果斯站,0,"80.418540,44.203946",,,80.41854,44.203946
霍林郭勒站,0,"119.669573,45.534773",,,119.669573,45.534773
霍邱站,0, ,,,0,0
霍州站,0,"111.719685,36.585907",,,111.719685,36.585907
霍州东站,37,"111.836529,36.564927",,,111.836529,36.564927
芨岭站,0,"101.788269,38.530952",,,101.788269,38.530952
鸡东站,0,"131.151750,45.252549",,,131.15175,45.252549
鸡西站,0,"130.978064,45.304556",,,130.978064,45.304556
吉安站,0,"115.021083,27.105257",,,115.021083,27.105257
吉林站,127,"126.578164,43.859146",,,126.578164,43.859146
吉林西站,0, ,,,0,0
吉首站,0,"109.735476,28.324112",,,109.735476,28.324112
吉舒站,0,"126.802551,44.288155",,,126.802551,44.288155
吉文站,0,"123.209770,50.589146",,,123.20977,50.589146
吉新河站,0, ,,,0,0
即墨北站,31,"120.394264,36.403793",,,120.394264,36.403793
集安站,0,"126.204853,41.136103",,,126.204853,41.136103
集宁南站,6,"113.099700,41.030871",,,113.0997,41.030871
纪家沟站,0,"118.133644,41.929340",,,118.133644,41.92934
济南站,118,"116.991734,36.670651",,,116.991734,36.670651
济南东站,0,"117.026510,36.681242",,,117.02651,36.681242
济南西站,273,"116.892552,36.669033",,,116.892552,36.669033
济宁站,0,"116.601013,35.392719",,,116.601013,35.392719
济源站,0,"112.574105,35.110157",,,112.574105,35.110157
绩溪北站,32,"118.572286,30.070587",,,118.572286,30.070587
绩溪县站,0,"118.583806,30.055659",,,118.583806,30.055659
蓟州站,0, ,,,0,0
稷山站,0, ,,,0,0
加格达奇站,0,"124.126246,50.420783",,,124.126246,50.420783
加南站,0,"107.940926,24.191147",,,107.940926,24.191147
佳木斯站,0,"130.383219,46.804781",,,130.383219,46.804781
嘉善站,0,"120.918199,30.850199",,,120.918199,30.850199
嘉善南站,57,"120.935691,30.787908",,,120.935691,30.787908
嘉祥站,0,"116.358485,35.392576",,,116.358485,35.392576
嘉兴站,0,"120.763317,30.764482",,,120.763317,30.764482
嘉兴南站,186,"120.799780,30.690965",,,120.79978,30.690965
嘉峪关站,0,"98.254166,39.764430",,,98.254166,39.76443
嘉峪关南站,28,"98.310337,39.718095",,,98.310337,39.718095
甲山站,0,"118.264915,40.788727",,,118.264915,40.788727
