车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
柏村站,0,"103.185524,29.258858",,,103.185524,29.258858
柏果站,0,"104.503342,26.000961",,,104.503342,26.000961
班猫箐站,0,"103.213448,24.932346",,,103.213448,24.932346
板城站,0,"115.256432,39.614010",,,115.256432,39.61401
板石河站,0,"127.541397,42.279469",,,127.541397,42.279469
板塘站,33,"112.972290,27.859684",,,112.97229,27.859684
半截河站,0,"130.316589,46.947693",,,130.316589,46.947693
蚌埠站,0,"117.377620,32.943937",,,117.37762,32.943937
蚌埠南站,149,"117.441597,32.901631",,,117.441597,32.901631
包头站,24,"109.836919,40.605177",,,109.836919,40.605177
包头北站,0,"109.746952,40.661745",,,109.746952,40.661745
包头东站,24,"110.024867,40.570342",,,110.024867,40.570342
包头东站,0,"110.024867,40.570342",,,110.024867,40.570342
包头西站,0,"109.751587,40.611394",,,109.751587,40.611394
宝坻站,0,"117.335990,39.715540",,,117.33599,39.71554
宝华山站,2,"119.055702,32.149189",,,119.055702,32.149189
宝鸡站,0,"107.153092,34.372845",,,107.153092,34.372845
宝鸡南站,105,"107.232182,34.334060",,,107.232182,34.33406
宝拉格站,0,"113.147934,41.702354",,,113.147934,41.702354
宝林站,0,"129.979523,45.027714",,,129.979523,45.027714
宝龙山站,0, ,,,0,0
宝木吐站,0,"118.776161,43.638023",,,118.776161,43.638023
宝清站,0,"132.196472,46.332580",,,132.196472,46.33258
宝泉岭站,0,"130.522736,47.430317",,,130.522736,47.430317
保定站,8,"115.479253,38.863753",,,115.479253,38.863753
保定东站,133,"115.601492,38.864142",,,115.601492,38.864142
保健站,0, ,,,0,0
保康站,0, ,,,0,0
堡子湾站,0,"113.280235,40.351040",,,113.280235,40.35104
北安站,0,"126.512368,48.235688",,,126.512368,48.235688
北板桥站,0,"112.893234,35.649372",,,112.893234,35.649372
北碚站,0,"106.437447,29.821255",,,106.437447,29.821255
北戴河站,39,"119.420099,39.851931",,,119.420099,39.851931
北磴站,0,"119.213821,40.733418",,,119.213821,40.733418
北岗站,0,"131.755615,47.353256",,,131.755615,47.353256
北海站,48,"109.128222,21.453139",,,109.128222,21.453139
北滘站,11,"113.263939,22.916031",,,113.263939,22.916031
北京站,48,"116.422408,39.903081",,,116.422408,39.903081
北京东站,0,"116.484606,39.902755",,,116.484606,39.902755
北京南站,383,"116.379092,39.864881",,,116.379092,39.864881
北京西站,202,"116.321337,39.894966",,,116.321337,39.894966
北井子站,8,"116.920288,43.031727",,,116.920288,43.031727
北流站,0,"110.346578,22.704253",,,110.346578,22.704253
北马圈子站,0,"117.603874,40.520771",,,117.603874,40.520771
北票南站,0,"120.818282,41.702017",,,120.818282,41.702017
北屯站,0, ,,,0,0
北屯市站,0,"87.806743,47.361308",,,87.806743,47.361308
北宅站,0,"116.572426,40.340679",,,116.572426,40.340679
背荫河站,0,"126.998596,45.171143",,,126.998596,45.171143
